,Title,Genre,Rating,Description,Director,Votes,Gross,Keyword
62,Heartburn,"Comedy, Drama",6.1,"She's a magazine writer who gives up her career for love and family. He's a playboy newspaper columnist who can't quite give up his old tricks. And if that combination doesn't give a relationship Heartburn, nothing will.",Mike Nichols,11825,$25.31M,rainy-day
63,So-won,Drama,8.2,"Story of an 8 year old girl coping with a gruesome rape damaging her internally and affecting emotionally, trying to overcome all obstacles in the aftermath of the incident with a good support from those around her.",Joon-ik Lee,8530,N/A,rainy-day
64,Dom Hemingway,"Comedy, Crime, Drama",6.1,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed.",Richard Shepard,27164,$0.52M,rainy-day
65,Their Finest,"Comedy, Drama, Romance",6.7,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",Lone Scherfig,20676,$3.60M,rainy-day
66,7-beon-bang-ui seon-mul,"Comedy, Drama",8.1,A story about the love between a mentally-ill father and his lovingly adorable daughter.,Hwan-kyung Lee,21639,N/A,rainy-day
67,Puberty Blues,"Comedy, Drama",5.9,The mating rituals of two teenage surf chicks from the southern suburbs of Sydney.,Bruce Beresford,1586,$0.24M,rainy-day
68,Alice,"Comedy, Romance",6.6,A spoiled Manhattan housewife re-evaluates her life after visiting a Chinatown healer.,Woody Allen,14753,$7.33M,rainy-day
69,Children of the Corn,"Horror, Thriller",3.8,"While traveling, an unhappy married couple encounter a cult of murderous children who worship an entity called He Who Walks Behind the Rows.",Donald P. Borchers,6243,N/A,rainy-day
70,Stellet Licht,"Drama, Romance",7.2,"In a Mennonite community in Mexico, a father's faith is tested when he falls in love with a new woman.",Carlos Reygadas,6681,$0.05M,rainy-day
71,En ganske snill mann,"Comedy, Crime, Drama",6.9,Ulrik's released from prison after 12 years for murder. Will he go straight? He gets a room and a job as mechanic. He hooks up with his old gang. His son introduces him as uncle to his pregnant fiancée.,Hans Petter Moland,7172,$0.04M,rainy-day
72,My Family and Other Animals,"Comedy, Drama",7.3,An English family relocates to sunny Greece four years before WWII.,Sheree Folkson,1839,N/A,rainy-day
73,Les femmes du 6e étage,Comedy,7.1,"In 1960s Paris, a conservative couple's lives are turned upside down by a group of Spanish maids that live in the same building.",Philippe Le Guay,10484,$0.72M,rainy-day
74,The Parole Officer,"Comedy, Crime",6.3,A failed parole officer framed for murder must enlist the help of his former clients to clear his name.,John Duigan,6981,N/A,rainy-day
75,Kanojo to kanojo no neko,"Animation, Short, Drama",7.1,A lonely young woman adopts a cat on a rainy day.,Makoto Shinkai,3014,N/A,rainy-day
76,Return to Paradise,"Adventure, Drama, Romance",6.0,An American drifter comes to a remote Polynesian island controlled by a Puritanical missionary and turns the social life of the island upside-down.,Mark Robson,763,N/A,rainy-day
77,Le Skylab,Comedy,6.4,"In July 1979, during the Summer holidays, in a house somewhere in Brittany, a whole family (parents, uncles, aunts, cousins and other relatives) are gathered to celebrate Granny Amandine's ...                See full summary »",Julie Delpy,2068,N/A,rainy-day
78,Paternity Leave,"Comedy, Drama, Romance",6.0,"Four years into his first stable relationship, a man finds out that he is pregnant with his partner's baby.",Matt Riddlehoover,1710,N/A,rainy-day
79,Thou Wast Mild and Lovely,"Comedy, Mystery, Romance",6.0,"There are places you go, where the things you do will matter to a lot of people. Then there are places you will go, where the things you will do matter only to a very few. But to those few, they will matter - a lot.",Josephine Decker,773,N/A,rainy-day
80,Mörkt vatten,"Drama, Thriller",3.9,"Daniel is both young and ambitious. In secret, he plans to spend a passionate weekend with his Boss's beautiful wife, Marie. However, what should have been a passionate and intimate weekend develops into something far more unpleasant.",Rafael Edholm,396,N/A,rainy-day
81,La donna invisibile,Drama,5.6,About the fading relationship between a professor and his wife. Based upon a short story by Alberto Moravia.,Paolo Spinola,78,N/A,rainy-day
82,Zoophobia: The Audio Visual Adaptation Teaser,"Animation, Short",8.6,"Cameron Walden was a young woman living in a big city seeking for any available work. On the day of her appointment at the unemployment department, she meets Ms. Kaycey the job specialist. ...                See full summary »",Vivienne Medrano,13,N/A,rainy-day
83,Ne me quitte pas,"Documentary, Comedy, Drama",7.2,"Set in a village on the edge of Belgium, Bob, Flemish, and Marcel, Walloon share their solitude, sense of humor and craving for alcohol.",Sabine Lubbe Bakker,425,N/A,rainy-day
84,Rainbow Dance,"Short, Musical, Animation",6.6,"The film was made by colorful printing of footage combined with drawing directly on film. The bouncy music drives home the message heard at the end of the film, promoting the GPO (General ...                See full summary »",Len Lye,734,N/A,rainy-day
85,Starting Over,Drama,6.2,"Nana is 19 and lives in a corner of Tokyo. Her birth mother and Marin, a girl the same age who she loves, were the only people she could trust. Nana confronts them in her yearning for love,...                See full summary »",Takashi Nishihara,36,N/A,rainy-day
86,Sista paret ut,Drama,5.8,"About the life of the student, Bo Dahlin. Bo's parents are divorced. Both have been unfaithful. Bo is engaged with Kerstin, but only have eyes for Anita. Anita is filled with self-disgust.",Alf Sjöberg,150,N/A,rainy-day
87,Lao Shi,Thriller,6.9,A psychological thriller about a taxi driver battling bureaucracy and legal manipulation in China.,Johnny Ma,577,$0.00M,rainy-day
88,Idoni kai pathos,"Crime, Drama, Romance",3.8,"After witnessing a hideous crime, an ambitious reporter has a chance encounter with an impoverished woman whom he takes under his wing. Already in a serious relationship, he falls for his new protégé. Can lust and passion ruin one's life?",Kyriakos Mavropanos,16,N/A,rainy-day
89,"Thomas & Friends: Splish, Splash, Splosh!","Animation, Comedy, Family",N/A,"Even when it's wet outside you can still have plenty of fun, especially when you share your adventures with Thomas and his friends. Grab your wellies and join the team as they prepare for ...                See full summary »",Greg Tiernan,N/A,N/A,rainy-day
90,Parad Pobedy,"Documentary, Short",8.2,"Color documentary film about the victory parade held on June 24, 1945, in Moscow, Red Square.",Nikolay Solovyev,25,N/A,rainy-day
91,The Story of 90 Coins,"Short, Drama, Romance",7.5,How much is a promise worth these days? An aspiring fashion designer finds out when she has to choose between fulfilling her promise and realizing her dream.,Michael Wong,76,N/A,rainy-day
92,Lavete theseis,Drama,6.2,"In Filiatra, a half deserted township of Messinia, farmers who are left are in a constant struggle to pay off their debts to the Agricultural Bank.",Thodoros Maragos,60,N/A,rainy-day
93,The Song for Rain,"Animation, Short",7.2,"A little boy helps a red fox catch rainwater. They spend the day together playing before the fox goes, but the boy really misses him.",Yawen Zheng,110,N/A,rainy-day
94,"Rain, Rain","Short, Sci-Fi",7.6,"One forgotten afternoon, a whip-smart troublemaker discovers a family secret & unleashes her imagination on her parents' perfect little house. Ginny Nallion's trapped inside by a rainy day....                See full summary »",Matt Brown,22,N/A,rainy-day
95,Canebrake Rattlesnake Herping SC,"Documentary, Short",N/A,"On a rainy day, Willy Beard for Venom Central has discovered a juvenile Canebrake rattlesnake while exploring one of his tin spots.",Willy Beard,N/A,N/A,rainy-day
96,RAINY DAYS,"Short, Drama",N/A,"''Rainy Days"" is a story that depicts the thin line between happiness and loneliness a sad scenario of what could have been and was actually so close that it was almost ours,or rather ...                See full summary »",Michael Demetrius,N/A,N/A,rainy-day
97,Guilt Trip,"Short, Drama",N/A,Add a Plot,Siang Yu Tan,N/A,N/A,rainy-day
98,"Baddiel, Skinner & the Lightning Seeds: 3 Lions '98","Comedy, Music, Sport",6.6,England supporters face off against their German arch rivals in a lively game of football.,Baddiel & Skinner & Lightning Seeds,13,N/A,rainy-day
99,Sleeper: What Do I Do Now?,Music,N/A,Add a Plot,Lindy Heymann,N/A,N/A,rainy-day
100,Lorrie Morgan: Good as I Was to You,Music,N/A,Add a Plot,Michael Salomon,N/A,N/A,rainy-day
101,The Young Ones,Comedy,8.2,"London is flooded and Vyvyan, Rick, Neil and Mike find themselves trapped in the house with Mr. Balowski, who has turned into an ax-wielding homicidal maniac.",Paul Jackson,472,N/A,rainy-day
102,Taxi,Comedy,7.2,After Louie places his mother in a nursing home he realizes that his vision of living without her was not as good as it seemed.,James Burrows,116,N/A,rainy-day
103,Reinikainen,Comedy,7.4,Add a Plot,Neil Hardwick,16,N/A,rainy-day
104,Better Things,"Comedy, Drama",7.6,Sam picks up the girls from a trip.,Pamela Adlon,290,N/A,rainy-day
105,Ramona,"Drama, Family",N/A,"Tensions run high in the Quimby household after inclement weather keeps them all indoors. Mr Quimby suggests they go out to dinner, and they end up learning a lesson about family from a mysterious stranger.",Randy Bradshaw,N/A,N/A,rainy-day
106,Ayashiki bungô kaidan,Horror,6.6,Add a Plot,Kore-eda Hirokazu,50,N/A,rainy-day
107,Recorded Rain,"Documentary, Short",N/A,The account of a rainy day plays out in forward and reverse footage.,Achyut Prashast Singh,N/A,N/A,rainy-day
108,The Almighty Johnsons,"Comedy, Drama, Fantasy",8.9,The Johnsons face the question of what to do with their last night before everything changes forever.,Mike Smith,66,N/A,rainy-day
109,Cristal ja Nygård tripillä,Reality-TV,N/A,Add a Plot,Cristal Snow,N/A,N/A,rainy-day
110,Peter Pan,"Adventure, Family, Fantasy",6.8,"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",P.J. Hogan,76652,$48.46M,rainy-weather
111,Beauty and the Beast,"Animation, Family, Fantasy",8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,463483,$218.97M,rainy-weather
112,The Blair Witch Project,"Horror, Mystery",6.5,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",Daniel Myrick,270053,$140.54M,rainy-weather
113,Atlantis: The Lost Empire,"Animation, Action, Adventure",6.9,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,Gary Trousdale,125813,$84.05M,rainy-weather
114,Cleopatra,"Biography, Drama, History",7.0,Queen Cleopatra VII of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,Joseph L. Mankiewicz,35305,$57.78M,rainy-weather
115,1408,"Fantasy, Horror, Mystery",6.8,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",Mikael Håfström,281189,$71.99M,rainy-weather
116,Anaconda,"Action, Adventure, Horror",4.8,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",Luis Llosa,107608,$65.89M,rainy-weather
117,Snow White and the Seven Dwarfs,"Animation, Adventure, Family",7.6,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",William Cottrell,205516,$184.93M,rainy-weather
118,Beethoven,"Comedy, Drama, Family",5.7,"A slobbering St. Bernard becomes the center of attention for a loving family, but must contend with a dog-napping veterinarian and his henchmen.",Brian Levant,73664,$57.11M,rainy-weather
119,Lady and the Tramp,"Animation, Adventure, Comedy",7.3,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.,Clyde Geronimi,140995,$93.60M,rainy-weather
120,Oliver & Company,"Animation, Adventure, Comedy",6.6,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.,George Scribner,50509,$74.15M,rainy-weather
121,Pacifiction,"Drama, Thriller",6.5,"On the French Polynesian island of Tahiti, the high commissioner of the Republic and French government must investigate an ongoing rumor: the sighting of a submarine whose ghostly presence could herald the return of French nuclear testing.",Albert Serra,1881,N/A,rainy-weather
122,Halloween 4: The Return of Michael Myers,"Horror, Thriller",5.8,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",Dwight H. Little,55470,$17.77M,rainy-weather
123,Batman: Mask of the Phantasm,"Animation, Action, Adventure",7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Eric Radomski,53359,$5.62M,rainy-weather
124,Addams Family Reunion,"Comedy, Family, Fantasy",3.9,The Addams Family goes on a search for their relatives.,Dave Payne,4923,N/A,rainy-weather
125,Enchanted April,Drama,7.3,"Four English women, after World War I, who are unhappy with their lives, and their time away on vacation in a beautiful Italian villa.",Mike Newell,6894,$13.20M,rainy-weather
126,Snow White: A Tale of Terror,"Adventure, Fantasy, Horror",6.1,"In this dark take on the fairy tale, the growing hatred of a noblewoman, secretly a practitioner of the dark arts, for her stepdaughter, and the witch's horrifying attempts to kill her.",Michael Cohn,11000,N/A,rainy-weather
127,Scorned,Thriller,4.7,A romantic weekend turns horrific and sadistic when Sadie discovers her boyfriend is having an affair with her best friend.,Mark Jones,2404,N/A,rainy-weather
128,Heavy Rain,"Crime, Drama, Mystery",8.8,"As a child goes missing, his father tirelessly works to rescue him, while a journalist, an FBI agent, and a private detective try to identify his kidnapper known only as the ""Origami Killer"".",David Cage,14107,N/A,rainy-weather
129,Indiscreet,"Comedy, Romance",6.7,An actress who has given up on love meets a suave banker and begins a flirtation with him...even though he's already married.,Stanley Donen,9692,N/A,rainy-weather
130,The Fiendish Plot of Dr. Fu Manchu,"Comedy, Crime, Fantasy",4.9,"When Fu's age-regressing elixir vitae is spilled by a hapless flunky, Fu Manchu sends his lackeys to round up supplies for a fresh batch of elixir, including a precious jewel, which prompts a team of agents to track him down.",Piers Haggard,2315,$10.70M,rainy-weather
131,Love in the Forecast,"Comedy, Romance",6.2,"After swearing off dating for a full year, Leah quickly learns her new commitment has made her a magnet for men.",Christie Will Wolf,1162,N/A,rainy-weather
132,Hibike! Euphonium,"Animation, Comedy, Drama",7.9,"Kumiko, a girl with absolutely no ambition, decides to change herself now that she has started her high school life and try to leave her hobby, playing euphonium in orchestra aside but she totally cannot forget it anyway.",Tomoyo Kurosawa,1257,N/A,rainy-weather
133,Nightbeasts,"Horror, Sci-Fi",5.3,A father and son on a weekend hunting trip encounter supernatural horror in the woods.,Wes Sullivan,1626,N/A,rainy-weather
134,Inspirace,"Animation, Short",7.5,An artist takes inspiration from the rain outside.,Karel Zeman,545,N/A,rainy-weather
135,Svi severni gradovi,Drama,5.5,"In an abandoned bungalow complex two man have made themselves a peaceful haven. Although the relationship between them is unclear, the unexpected arrival of the third man is going to disrupt their little utopia.",Dane Komljen,185,N/A,rainy-weather
136,Ten Times Love,"Short, Fantasy",6.5,"Ten fragments of ephemeral love in the life of Numa, an anti-romantic hero of our liquid time.",Manuel Billi,14,N/A,rainy-weather
137,Cardiacs - Some Fairytales from the Rotten Shed,Music,N/A,"Cardiacs have been left in a shed in Wiltshire for days to rehearse for their upcoming Garage Concerts by their mysterious and questionably benevolent label, The Alphabet Business Concern. ...                See full summary »",Tim Smith,N/A,N/A,rainy-weather
138,David Bowie: No Plan,"Drama, Music",7.3,"In this posthumous music video by David Bowie his song attracts a crowd of people to a window of a Newton Electrical shop full of old flickering television sets, despite of rain.",Tom Hingston,99,N/A,rainy-weather
139,Phantasiesätze,Short,6.5,"Many years ago, the cities by the river were gripped by a contagion. Things started to change and everything slowly became something else. It was not clear if transformation was a symptom ...                See full summary »",Dane Komljen,87,N/A,rainy-weather
